date,mxn_close,score,wsum,band,s_vix,s_mxn,s_spx,s_carry,s_mxnvol,s_move,s_btc,s_curve,s_gold,r_vix,r_mxn,r_spx,r_carry,r_mxnvol,r_move,r_btc,r_curve,r_gold
2005-03-07,11.0305,69,83,RISK-ON,78.751,63.393,61.012,,79.763,71.729,,80.000,39.755,12.26000,-0.17195,0.26103,,3.88779,76.30000,,0.70000,0.18424
2005-03-08,10.9755,66,83,CONSTRUCTIVE,78.160,82.957,31.691,,78.779,67.038,,84.000,7.746,12.40000,-0.49862,-0.47988,,4.11109,81.93000,,0.76000,1.21839
2005-03-09,11.004,53,83,CONSTRUCTIVE,76.852,31.202,18.625,,79.741,57.697,,90.667,31.524,12.70000,0.25967,-1.01851,,3.89284,92.10000,,0.86000,0.40882
2005-03-10,11.039,60,83,CONSTRUCTIVE,77.773,28.314,57.371,,79.251,58.615,,86.667,42.164,12.49000,0.31807,0.18558,,4.00505,91.14000,,0.80000,0.15833
2005-03-11,11.0215,60,83,CONSTRUCTIVE,76.405,61.839,25.014,,79.233,56.156,,88.667,18.566,12.80000,-0.15853,-0.75832,,4.00897,93.70000,,0.83000,0.76785
2005-03-14,11.1335,59,83,CONSTRUCTIVE,78.202,4.890,69.641,,72.444,56.639,,84.667,89.683,12.39000,1.01620,0.56246,,5.39722,93.20000,,0.77000,-1.14299
2005-03-15,11.208,50,83,CONSTRUCTIVE,74.791,12.703,25.244,,69.755,57.793,,86.000,52.150,13.15000,0.66915,-0.75238,,5.88519,92.00000,,0.79000,-0.04534
2005-03-16,11.204,56,83,CONSTRUCTIVE,73.155,52.603,23.974,,69.774,58.967,,86.667,23.121,13.49000,-0.03569,-0.80819,,5.88188,90.77000,,0.80000,0.63507
2005-03-17,11.2085,65,83,CONSTRUCTIVE,74.125,47.027,56.461,,69.794,57.678,,84.667,88.948,13.29000,0.04016,0.18013,,5.87832,92.12000,,0.77000,-1.12689
2005-03-18,11.1715,66,83,CONSTRUCTIVE,74.838,72.394,48.313,,69.065,59.602,,86.000,43.567,13.14000,-0.33011,-0.04705,,6.00632,90.10000,,0.79000,0.13676
